ID,Example,Synset Members,Not a problem,New Member,New Definition
ewn-00722421-v,"""I look to hear from you soon""","look forward",,,
ewn-00725080-s,"""undeniable guilt""","incontestable, indisputable, undisputable",,,
ewn-00730557-s,"""dependent on Middle Eastern oil""","reliant",,,
ewn-00731545-n,"""hazardous duty""","assignment, naming, grant, designation, appointment, duty assignment, assigning",,,
ewn-00733559-v,"""He was caught out""","find out, catch out",,,
ewn-00753353-s,"""careless grace""","effortless, casual",,,
ewn-00755473-v,"""She asked him to be here at noon""","request",,,
ewn-00762714-s,"""by diplomatic conduct he avoided antagonizing anyone""","tactful, kid-glove",,,
ewn-00781784-n,"""that book is a fraud""","rig, swindle, cheat",,,
ewn-00781953-v,"""The musicians took five during the rehearsal""","take five",,,
ewn-00783350-v,"""He went ahead with the project""","go ahead, plow ahead",,,
ewn-00799892-s,"""a theatrical pose""","melodramatic, histrionic",,,
ewn-00801904-v,"""She backed out of her promise""","go back on, renege, renegue on, renege on",,,
ewn-00808553-v,"""sanctify the marriage""","sanction",,,
ewn-00827309-v,"""She told the misbehaving student off""","tell off, brush down",,,
ewn-00827437-v,"""She always shoots her mouth off and says things she later regrets""","lip off, shoot one's mouth off",,,
ewn-00832159-v,"""teach somebody to unlearn old habits or methods""","unteach, untaught",,,
ewn-00835235-s,"""uneducated children""","untutored, unschooled, untaught",,,
ewn-00842659-v,"""The lectures bore down on the political background""","bear down, charge",,,
ewn-00865570-v,"""your invectives scorched the community""","whip, whipped, whipping, whisk, scald, lash, blister",,,
ewn-00869934-v,"""John called Mary's bluff when she claimed she could prove the theorem in under an hour""","call one's bluff",,,
ewn-00880549-v,"""submit a bill to a legislative body""","return, reelect",,,
ewn-00882501-s,"""an inquiring look""","inquisitive",,,
ewn-00886335-v,"""I have sworn off cigarettes altogether""","swear off",,,
ewn-00890040-v,"""The young woman took the veil after her fiance died""","take the veil",,,
ewn-00893644-s,"""it was as good as gold""","tantamount, equivalent",,,
ewn-00897044-v,"""she always takes his side, no matter how sound his argument""","take sides with, take someone's side",,,
ewn-00897237-v,"""He stood up for his friend""","stick up, stand up, hold up",,,
ewn-00900967-v,"""They finally took a bow for what they did""","take a bow",,,
ewn-00904608-v,"""I wash my hands of this""","wash one's hands",,,
ewn-00905499-s,"""life-giving love and praise""","life-sustaining, vital",,,
ewn-00907512-s,"""an estimable young professor""","admirable",,,
ewn-00911052-s,"""they listened with flattering interest""","adulatory",,,
ewn-00917003-s,"""it was evergreen where the weather was mild but deciduous in the rigorous parts of the range""","semi-evergreen, half-evergreen",,,
ewn-00919090-s,"""a ballpark estimate""","rough, approximative, rocky, rockier, rockiest, approximate",,,
ewn-00934286-v,"""These words mean nothing to me!""","signify, signified",,,
ewn-00935201-v,"""The parishioners spoke in tongues""","speak in tongues",,,
ewn-00935453-s,"""a capetbag politician""","carpetbag, carpetbagging",,,
ewn-00939649-v,"""Don't tell him any secrets--he cannot keep his mouth shut!""","keep quiet, shut one's mouth, keep one's mouth shut",,,
ewn-00945595-v,"""They spoke of many things""","talk about, discuss, talk of, discourse",,,
ewn-00947318-s,"""inexpressible anguish""","indefinable, ineffable, undefinable, unspeakable, unutterable, untellable, indescribable",,,
ewn-00947680-v,"""He could recite the names of all the chemical elements""","roll off, reel off, rattle down, spiel off, rattle off",,,
ewn-00953210-s,"""an outer lane""","outside, remote, away",,,
ewn-00966860-s,"""the rebelling confederacy""","rebellious",,,
ewn-00975821-s,"""the last thing in swimwear""","up to date, cutting-edge, up-to-date, up-to-date, with-it",,,
ewn-00975821-s,"""wears only the latest style""","up to date, cutting-edge, up-to-date, up-to-date, with-it",,,
ewn-00987738-v,"""She bit out a curse""","bite out",,,
ewn-00996467-s,"""diet cola""","lite, light, calorie-free, low-cal",,,
ewn-00997017-s,"""a fatal accident""","deadly, deadlier, deadliest, mortal, mortal, deathly",,,
ewn-01002938-s,"""an unfeathered goose""","plucked",,,
ewn-01008744-v,"""We sketched out our plan""","block out, screen, mask",,,
ewn-01019627-a,"""the endmost pillar""","terminal",,,
ewn-01024501-s,"""not an appropriate (or fit) time for flippancy""","suited, suitable",,,
ewn-01031778-s,"""an adaptable person""","pliable, elastic, flexible, bendable, pliant, pliant, waxy, waxier, waxiest",,,
ewn-01040704-s,"""a native Scot""","native-born",,,
ewn-01046908-s,"""formal wear""","full-dress, dress, dress",,,
ewn-01047291-v,"""The ancient door soughed when opened""","groan, moan",,,
ewn-01058652-v,"""Cackling geese""","gaggle",,,
ewn-01069759-a,"""he was born of slave parents""","unfree",,,
ewn-01072799-v,"""We started French in fourth grade""","begin, began, beginning, begun",,,
ewn-01078023-s,"""salt domes""","saliferous",,,
ewn-01078146-s,"""salty tears""","saline",,,
ewn-01084416-v,"""The pitcher bore down""","bear down, charge",,,
ewn-01084588-s,"""fruitful soil""","bountiful, plentiful",,,
ewn-01087135-v,"""score a penalty shot or free throw""","convert, exchange, exchange, win over, change over, commute, commute, convince, change",,,
ewn-01089130-s,"""imbued with the spirit of the Reformation""","replete, full, instinct",,,
ewn-01089902-s,"""a full stomach""","stuffed",,,
ewn-01091077-s,"""empty eyes""","glassy, glassier, glassiest, glazed",,,
ewn-01093571-v,"""The battle over health care reform was joined""","join battle",,,
ewn-01098548-s,"""equipt in the...national dress of the Scottish people""- Sir Walter Scott","outfitted",,,
ewn-01098778-s,"""equipped to be a scholar""","prepared",,,
ewn-01098778-s,"""graduates well equipped to handle such problems""","prepared",,,
ewn-01115676-s,"""prodigal praise""","overgenerous, too-generous, unstinted, lavish, unstinting, munificent, unsparing",,,
ewn-01123424-s,"""glazed pottery""","vitreous, vitrified, glassy, glassier, glassiest",,,
ewn-01151176-v,"""Are you siding with the defender of the title?""","root for, pull",,,
ewn-01152997-a,"""he looks so sad""","unhappy, unhappier, unhappiest, dysphoric, distressed",,,
ewn-01155631-v,"""The Giants struck back and won the opener""","retaliate, strike back",,,
ewn-01174842-v,"""The early Christian disciples broke bread together""","break bread",,,
ewn-01178109-s,"""he had a grossly distended stomach""","turgid, large, bombastic, puffy, puffier, puffiest, intumescent, orotund, declamatory, tumescent, tumid, tumid",,,
ewn-01178109-s,"""hungry children with bloated stomachs""","turgid, large, bombastic, puffy, puffier, puffiest, intumescent, orotund, declamatory, tumescent, tumid, tumid",,,
ewn-01178109-s,"""swollen hands""","turgid, large, bombastic, puffy, puffier, puffiest, intumescent, orotund, declamatory, tumescent, tumid, tumid",,,
ewn-01190875-v,"""I'm full--don't give me any more beans, please""","be full",,,
ewn-01193765-v,"""We had a ball at the party and didn't come home until 2 AM""","have a ball, have a good time",,,
ewn-01200750-s,"""the attending physician""","ministrant",,,
ewn-01201731-s,"""icily neutral, disagreeably unhelpful""","unaccommodating",,,
ewn-01213979-n,"""the sight of flowers every morning was my morale builder""","morale booster, morale building",,,
ewn-01215404-s,"""the dollar is low""","debased, devalued, adulterate, adulterated, corrupted, vitiated, degraded",,,
ewn-01234511-s,"""institutional food""","uninteresting",,,
ewn-01256888-v,"""Erosion wore away the surface""","wear off, wear away",,,
ewn-01265356-s,"""a humane physician""","human-centered, humanist, humanistic, human-centred, humanitarian",,,
ewn-01274018-v,"""face an embankment""","revet, revetted, revetting",,,
ewn-01275146-v,"""The thief was tarred and feathered""","tar-and-feather",,,
ewn-01298781-s,"""the departing train""","outbound, outward, outward-bound",,,
ewn-01300894-s,"""a gambling fool""","dissipated, betting, sporting, card-playing",,,
ewn-01316071-v,"""spurt the wall with water""","squirt, squeeze out, eject, force out",,,
ewn-01318869-v,"""The police left no stone unturned in looking for the President's murderer""","leave no stone unturned",,,
ewn-01319421-s,"""a very inhibited young man, anxious and ill at ease""","pent-up, repressed",,,
ewn-01319421-s,"""her severe upbringing had left her inhibited""","pent-up, repressed",,,
ewn-01321272-s,"""beaten black and blue""","livid, white, ashen, bloodless, black-and-blue, blanched",,,
ewn-01329005-v,"""The disease took off""","take off",,,
ewn-01342529-s,"""an unintended slight""","unplanned, unwitting, unintentional",,,
ewn-01349112-v,"""He broke open the picnic basket""","break open",,,
ewn-01350597-s,"""extramural studies""","outside, remote, away",,,
ewn-01352283-s,"""poetry is something to which words are the accidental, not by any means the essential form""- Frederick W. Robertson","adventitious",,,
ewn-01368542-v,"""strike a fish""","seize, capture, confiscate, usurp, arrogate, assume, grab, grabbed, grabbing, conquer, attach, sequester, take over, impound, appropriate",,,
ewn-01387093-v,"""accumulate evidence""","collect, take in, pull in",,,
ewn-01396024-s,"""dwarf star""","dwarfish",,,
ewn-01396024-s,"""dwarf tree""","dwarfish",,,
ewn-01396483-s,"""reduced to a microscopic scale""","minute, infinitesimal, narrow",,,
ewn-01397749-s,"""a small surplus""","slender, slim, slimmer, slimmest, thin, thinner, thinnest",,,
ewn-01410239-s,"""the legitimate heir""","rightful, true, lawful",,,
ewn-01413922-a,"""equivalent amounts""","like, alike, same, similar, similar",,,
ewn-01481639-v,"""The drains clogged up""","crap up",,,
ewn-01491306-s,"""relevant testimony""","crucial",,,
ewn-01492219-s,"""flowering spring trees""","efflorescent, abloom",,,
ewn-01502488-v,"""rack pool balls""","rack up, score, tally, tallied, hit, hitting",,,
ewn-01522777-s,"""a military bearing""","soldierly, soldierlike, martial, warriorlike",,,
ewn-01530888-s,"""appointed and removable by the mayor""","dismissible",,,
ewn-01531364-s,"""an irremovable officer""","tenured",,,
ewn-01535138-s,"""metamorphic rocks""","changed",,,
ewn-01549415-v,"""He stood back to look at her""","stand back",,,
ewn-01554025-s,"""a group of effete self-professed intellectuals""","decadent, fin-de-siecle",,,
ewn-01568708-s,"""the inertia of an object at rest""","still, soundless, placid, motionless, inactive, tranquil, quiet, static, silent, smooth, unruffled",,,
ewn-01586415-v,"""He drew a circle around the points""","circumscribe, confine to, limit",,,
ewn-01586714-s,"""a reserve supply of food""","spare",,,
ewn-01600017-v,"""The snow bore down on the roof""","press down on, bear down on, weigh down, bear down, drag down",,,
ewn-01605295-s,"""we took the north train""","northward, northbound",,,
ewn-01605651-s,"""the north wind doth blow""","northern, northerly, northerly",,,
ewn-01606339-v,"""macadam the road""","tarmac, macadamise, macadamize",,,
ewn-01623286-s,"""obvious lies""","provable, demonstrable",,,
ewn-01637196-s,"""an official banquet""","formal",,,
ewn-01646166-s,"""new nations""","new-sprung, newborn",,,
ewn-01654652-v,"""The musicians struck up a tune""","strike up, sound off",,,
ewn-01658719-n,"""most vertebrates are stereospondylous""","order Stereospondyli, Stereospondyli",,,
ewn-01679159-s,"""a tolerable working knowledge of French""","so-so, indifferent",,,
ewn-01679159-s,"""her work at the office is passable""","so-so, indifferent",,,
ewn-01679159-s,"""prepared a tolerable dinner""","so-so, indifferent",,,
ewn-01681586-s,"""Samson is supposed to have had fantastic strength""","phenomenal",,,
ewn-01681586-s,"""the bomb did fantastic damage""","phenomenal",,,
ewn-01684566-s,"""organic gardening is more natural""","nonsynthetic",,,
ewn-01693210-s,"""bromidic sermons""","trite, commonplace, well-worn, old-hat, hackneyed, banal, timeworn, shopworn, tired, stock, threadbare",,,
ewn-01711683-s,"""hidden agenda""","disguised, masked, cloaked",,,
ewn-01714996-s,"""the amount still owed""","undischarged, outstanding, owing",,,
ewn-01762120-s,"""designated him to act as consul protempore""- H.H.Fiske","pro tem, pro tempore",,,
ewn-01772685-v,"""we were struck dumb by the candidate's announcement""","strike dumb",,,
ewn-01777051-v,"""bear a grudge""","nurse, harbour, suckle, harbor, give suck, wet-nurse, lactate, suck, hold, held, entertain, breastfeed",,,
ewn-01796980-v,"""The young man broke the girl's heart when he told her was going to marry her best friend""","break someone's heart",,,
ewn-01800618-s,"""a crenelated molding""","battlemented, embattled, castled, castellated",,,
ewn-01824586-v,"""She feasted her eyes on the Tuscan landscape""","feast one's eyes",,,
ewn-01838427-v,"""Traffic stood still when the funeral procession passed by""","stand still",,,
ewn-01846146-v,"""We never went out when our children were small""","go out",,,
ewn-01850509-s,"""prepared ergot""","processed",,,
ewn-01863840-v,"""The noise brought her up in shock""","bring up",,,
ewn-01868101-s,"""a state university""","state-supported",,,
ewn-01877777-v,"""She pushed up her children when the policeman came by""","boost up",,,
ewn-01890843-s,"""an ex-post-facto law""","ex post facto, retroactive, retro",,,
ewn-01894116-s,"""a guardian angel""","tutelary, custodial, tutelar",,,
ewn-01905041-s,"""the prudent use and development of resources""","provident",,,
ewn-01914092-s,"""a contaminated lake""","unpolluted, uncontaminated",,,
ewn-01944376-s,"""play money""","make-believe, pretend",,,
ewn-01950363-s,"""arrive home at a reasonable hour""","commonsensible, commonsensical, commonsense",,,
ewn-01965069-s,"""a registered hospital""","qualified, restricted, certified",,,
ewn-01965069-s,"""a registered pharmacist""","qualified, restricted, certified",,,
ewn-01982897-s,"""remarks that were to the point""","pertinent",,,
ewn-01986267-v,"""Her jaw dropped""","fall open, drop open",,,
ewn-01993216-s,"""open to suggestions""","hospitable",,,
ewn-01999581-v,"""We are moving ahead in time now""","continue, go forward, proceed",,,
ewn-02002825-v,"""I caught up on my homework""","catch up",,,
ewn-02003975-s,"""he was answerable to no one""","accountable",,,
ewn-02003975-s,"""the court held the parents answerable for their minor child's acts of vandalism""","accountable",,,
ewn-02017632-s,"""hear the rolling thunder""","resounding, reverberating, resonating, reverberative, resonant",,,
ewn-02018405-v,"""The plane took off two hours late""","lift off, take off",,,
ewn-02020726-s,"""`Rabbit Redux' by John Updike""","redux(",,,
ewn-02021515-v,"""the wild ducks took water""","take water",,,
ewn-02033263-s,"""slum conditions""","slummy",,,
ewn-02045722-v,"""Negotiations broke down""","crumble, collapse, tumble, fall apart, dilapidate, crumple, break down, decay",,,
ewn-02058608-s,"""rustic tranquility""","pastoral, bucolic, arcadian",,,
ewn-02059217-s,"""a country boy""","country-bred",,,
ewn-02059310-s,"""country music""","country-style",,,
ewn-02067900-s,"""dangerous waters""","touch-and-go, parlous, precarious, perilous",,,
ewn-02068316-s,"""a kamikaze pilot""","suicidal, self-destructive",,,
ewn-02076350-s,"""the themes of his stories are one and the same""","selfsame, very, identical",,,
ewn-02079186-s,"""the amateur is closely related to the collector""","kindred, akin",,,
ewn-02080274-v,"""The lecture was boring and many students slipped out when the instructor turned towards the blackboard""","sneak away, steal away, sneak out, slip away, sneak off",,,
ewn-02082838-v,"""He brought in a new judge""","bring in, introduce",,,
ewn-02084755-s,"""a raving lunatic""","raving mad, wild",,,
ewn-02086960-s,"""a wry pleasure to be...reminded of all that one is missing""- Irwin Edman","sardonic, snarky",,,
ewn-02089364-a,"""life is becoming increasingly unsatifactory""","unsatisfactory",,,
ewn-02094946-v,"""they brought about the boat when they saw a storm approaching""","bring about",,,
ewn-02108248-s,"""a subordinate functionary""","subaltern, petty, lowly, lowlier, lowliest, junior-grade, lower-ranking, secondary",,,
ewn-02108248-s,"""the junior faculty""","subaltern, petty, lowly, lowlier, lowliest, junior-grade, lower-ranking, secondary",,,
ewn-02108662-s,"""John Junior""","younger, jr.",,,
ewn-02111676-s,"""a sensitive colloid is readily coagulated""","highly sensitive",,,
ewn-02119388-s,"""a united effort""","cooperative, conjunctive, concerted, conjunct",,,
ewn-02119388-s,"""joint military activities""","cooperative, conjunctive, concerted, conjunct",,,
ewn-02119981-s,"""a joint identity""","corporate, collective, incarnate, bodied, embodied, incorporated, corporal",,,
ewn-02124063-s,"""germfree animals""","axenic",,,
ewn-02127251-s,"""a sensible young man""","thoughtful, serious-minded",,,
ewn-02131634-s,"""the dishwasher is now in working order""","useable, available, operational, operable, usable, usable, usable, functional",,,
ewn-02165760-v,"""the phosphor fluoresced""","scintillate, sparkle, sparkle, winkle, coruscate, coruscate, twinkle",,,
ewn-02169397-s,"""deciding to drop the atom bomb was a very big decision""","momentous",,,
ewn-02171654-v,"""Keep your eyes peeled for any policemen""","keep one's eyes skinned, keep one's eyes open, keep one's eyes peeled",,,
ewn-02171879-v,"""Keep an eye on this prisoner!""","look after",,,
ewn-02184401-s,"""got his way by labyrinthine maneuvering""","Byzantine, convoluted, involved, knotty, knottier, knottiest, tangled, tortuous",,,
ewn-02199637-v,"""The smell of the food turned the pregnant woman's stomach""","turn one's stomach, nauseate, sicken",,,
ewn-02218824-v,"""I kept your little secret to myself all these years""","keep to oneself",,,
ewn-02219267-v,"""they held back their applause in anticipation""","reserve",,,
ewn-02225866-s,"""a supercomputer can be used for civilian or military purposes""","dual-purpose, dual-use",,,
ewn-02252557-v,"""the museum sold off its collection of French impressionists to raise money""","de-access",,,
ewn-02252557-v,"""the publishing house sold off one of its popular magazines""","de-access",,,
ewn-02259479-v,"""settle the bills""","clean up",,,
ewn-02273549-v,"""In the new economy, we all have to learn to tighten our belts""","tighten one's belt",,,
ewn-02284617-v,"""she took advantage of his absence to meet her lover""","take advantage, capitalise, capitalize, trespass",,,
ewn-02298446-a,"""in typical Greek and Latin verse of the classical period the rhymic system is based on some arrangement of long and short elements""","quantitative",,,
ewn-02302509-a,"""the classical argument between free trade and protectionism""","standard",,,
ewn-02312246-s,"""a quaking bog""","shaky, shakier, shakiest, trembling, shivering",,,
ewn-02312246-s,"""quivering leaves of a poplar tree""","shaky, shakier, shakiest, trembling, shivering",,,
ewn-02312392-v,"""he was fined for littering""","mulct",,,
ewn-02323823-v,"""The congressmen feathered his nest through his connection with big business""","feather one's nest",,,
ewn-02330284-s,"""strong winds""","knockout, severe, hard",,,
ewn-02347411-s,"""our greatest statesmen""","leading, preeminent",,,
ewn-02360248-s,"""droplets in suspension in a gas""","suspended",,,
ewn-02376443-v,"""The new student keeps to herself""","keep to oneself",,,
ewn-02383421-v,"""His work lay dormant for many years""","lie dormant",,,
ewn-02391408-v,"""She took orders last month""","take orders",,,
ewn-02394294-s,"""five feet tall""","in height",,,
ewn-02403303-v,"""This player was brought up to the major league""","bring up",,,
ewn-02413660-v,"""The teacher is overworking his students""","overdrive, overdriven, overdrove",,,
ewn-02414962-s,"""a restless child""","fretful, fidgety, antsy, itchy",,,
ewn-02419402-v,"""Bob has never pulled his weight, and we all have to work harder to make up for his laziness""","pull one's weight",,,
ewn-02422984-s,"""thin paper""","light, short, scant, tripping, clean, lightsome, idle, unclouded, clear",,,
ewn-02427045-s,"""that is one possible answer""","imaginable, conceivable",,,
ewn-02430138-s,"""thrifty because they remember the great Depression""","economical, economic, frugal, sparing, stinting, scotch",,,
ewn-02436681-v,"""China broke with Russia""","break with",,,
ewn-02437994-a,"""wild unkempt hair""","uncombed",,,
ewn-02438692-s,"""a magnificently timbered old barn""","timber-framed",,,
ewn-02443400-v,"""I'll handle that one""","process, march, action, sue, litigate",,,
ewn-02468933-v,"""She refrains from calling her therapist too often""","avoid, keep off",,,
ewn-02470666-s,"""I wouldn't have told you this if it weren't so""","truthful",,,
